date,export,import_ru,moex,gov_cons,inflation,interest_rate,investment,unemployment,money_supply,oil_price,private_consumption,rub_usd,salary,gdp
2003-03-31,10222.666666666666,3823.0,327.41661016949155,591240634470.6381,13.6632930228667,-0.6001706833494882,52503.087436778565,8.21000003814697,2340.41783935033,66.92,1736665471451.52,31.4,5296.0,2851.1
2003-06-30,10510.0,4613.666666666667,394.9773770491803,616058709694.078,13.6632930228667,-0.6001706833494882,57117.893550789544,8.21000003814697,2624.264973035177,66.92,1805801607967.4202,30.6,5549.0,3101.7
2003-09-30,11482.333333333334,4972.333333333333,463.0845454545455,624572582381.562,13.6632930228667,-0.6001706833494882,66297.78520216414,8.21000003814697,2806.6751014400234,66.92,1878819130574.42,29.8,6401.0,3600.2
2003-12-31,12336.0,5706.666666666667,508.5425396825397,649892281811.262,13.6632930228667,-0.6001706833494882,67310.61176349936,8.21000003814697,3233.5819117767896,66.92,1969335792471.82,29.0,6173.0,3655.2
2004-03-31,12267.666666666666,4921.666666666667,575.1265,725071728344.282,10.8886157326216,-7.328985861170176,64637.19670671553,7.76000022888184,3476.866486336117,82.5,2189368604015.43,28.631300333333332,6650.0,3515.7
2004-06-30,14318.666666666666,6127.666666666667,578.4070491803279,746789340174.52,10.8886157326216,-7.328985861170176,73019.05465210097,7.76000022888184,3615.1529474649396,82.5,2294532686484.35,28.928333166666665,6930.0,3971.6
2004-09-30,16078.666666666666,6632.666666666667,537.6051515151515,761506342054.4971,10.8886157326216,-7.328985861170176,84462.0649289334,7.76000022888184,3861.787853908747,82.5,2434728643797.75,29.158332833333333,7582.0,4594.0
2004-12-31,17889.333333333332,7508.333333333333,597.3744444444444,797368330181.15,10.8886157326216,-7.328985861170176,90931.85174836997,7.76000022888184,4249.971030655487,82.5,2565514816784.69,28.42999983333333,7638.0,4945.9
2005-03-31,16616.0,6272.333333333333,585.4619642857143,906511710296.6221,12.6853039507349,-7.2066899103980955,79164.22021548811,7.11999988555908,4581.080067806387,117.34,2733862693633.0,27.848450166666666,8234.0,4458.6
2005-06-30,19675.333333333332,7928.333333333333,606.2748387096774,945702582791.0181,12.6853039507349,-7.2066899103980955,90160.13857090275,7.11999988555908,4967.41289905824,117.34,2903384622982.95,28.067233833333336,8674.0,5077.9
2005-09-30,21419.0,8703.333333333334,748.408787878788,965220620195.603,12.6853039507349,-7.2066899103980955,103783.85591969924,7.11999988555908,5410.205915056336,117.34,3058919838672.11,28.592083666666667,9651.0,5845.2
2005-12-31,22780.333333333332,9998.333333333334,917.2371875,1006276091636.92,12.6853039507349,-7.2066899103980955,110582.39804514454,7.11999988555908,5863.91179405124,117.34,3222167708745.44,28.650417,9397.0,6228.1
2006-03-31,22299.333333333332,8179.333333333333,1238.1215789473683,1180304662464.85,9.66865454789265,-4.078691838774987,107188.40097057754,7.05999994277954,6385.492101215687,141.65,3369789275012.78,28.806299,10401.0,5792.9
2006-06-30,25362.0,10792.333333333334,1346.2340322580644,1222079376809.48,9.66865454789265,-4.078691838774987,117831.56212272521,7.05999994277954,7184.2154368886195,141.65,3536008130878.12,26.967,10949.0,6368.1
2006-09-30,26385.666666666668,12159.666666666666,1391.0375384615386,1236882062774.03,9.66865454789265,-4.078691838774987,134627.1069381015,7.05999994277954,7947.568236140901,141.65,3703019480113.6,26.789466833333336,12203.0,7275.8
2006-12-31,26462.333333333332,14789.333333333334,1508.8840625,1269382864576.94,9.66865454789265,-4.078691838774987,138411.054183606,7.05999994277954,8741.19778688835,141.65,3890480594611.4204,26.503500000000003,11876.0,7480.3
2007-03-31,23648.333333333332,12464.666666666666,1653.2066666666667,1437973065508.24,9.00729868861076,-3.3449266114446368,142352.02420794172,6.0,10005.027092573617,150.36,4091072425408.0903,26.245383166666667,12993.0,6780.2
2007-06-30,27872.333333333332,15835.333333333334,1666.521129032258,1488552160391.34,9.00729868861076,-3.3449266114446368,163080.63892439564,6.0,10899.058695301634,150.36,4333079039103.77,25.797583333333336,13494.0,7767.5
2007-09-30,29566.333333333332,17321.666666666668,1698.876923076923,1512843231300.24,9.00729868861076,-3.3449266114446368,186914.4517737003,6.0,11745.734684272567,150.36,4582968257565.25,25.501332333333334,15742.0,8902.7
2007-12-31,32889.666666666664,20962.666666666668,1854.4275,1592040286048.49,9.00729868861076,-3.3449266114446368,205690.50782649554,6.0,12501.6023699519,150.36,4902706004063.689,24.624833499999998,15424.0,9797.0
2008-03-31,36216.333333333336,18303.0,1677.35,1823003046972.2798,14.1107677840442,-4.904962089446401,197888.0262637039,6.21000003814697,13061.156073883567,197.57,5177822783562.931,24.14250033333333,16962.0,8877.7
2008-06-30,42077.666666666664,23309.666666666668,1777.6570967741936,1913979723134.49,14.1107677840442,-4.904962089446401,228216.42759900418,6.21000003814697,13941.307805560302,197.57,5481055631750.04,23.6386665,17556.0,10238.3
2008-09-30,45202.333333333336,25709.333333333332,1379.098787878788,1950104426844.81,14.1107677840442,-4.904962089446401,257276.50169927688,6.21000003814697,13606.922449570266,197.57,5755632074035.09,24.39833366666667,18966.0,11542.0
2008-12-31,32364.333333333332,21712.0,646.2112307692308,2031658370739.47,14.1107677840442,-4.904962089446401,236680.1156682483,6.21000003814697,11746.555939177866,197.57,5875198074947.11,27.695333166666668,17441.0,10618.0
