"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2021","4,121.66","4,181.70","4,181.70","4,089.32","","-1.62%"
"11/11/2021","4,189.35","4,141.62","4,189.35","4,126.52","","0.40%"
"11/10/2021","4,172.47","4,192.62","4,196.22","4,151.60","","-0.35%"
"11/09/2021","4,187.33","4,207.59","4,225.82","4,181.75","","-0.73%"
"11/08/2021","4,218.27","4,203.65","4,220.88","4,188.59","","1.04%"
"11/05/2021","4,174.76","4,179.03","4,181.87","4,159.92","","-0.24%"
"11/03/2021","4,184.87","4,192.14","4,192.14","4,158.17","","-0.54%"
"11/02/2021","4,207.53","4,235.89","4,245.32","4,196.75","","-0.33%"
"11/01/2021","4,221.49","4,155.24","4,224.51","4,155.24","","1.72%"
"10/29/2021","4,150.00","4,186.35","4,186.70","4,116.29","","-0.95%"
"10/28/2021","4,189.66","4,210.78","4,220.23","4,157.39","","-0.94%"
"10/27/2021","4,229.53","4,216.76","4,234.99","4,190.68","","-0.15%"
"10/26/2021","4,235.87","4,254.59","4,259.83","4,233.80","","-0.45%"
"10/25/2021","4,254.98","4,216.43","4,254.98","4,184.74","","1.38%"
"10/22/2021","4,196.96","4,218.50","4,246.22","4,196.96","","-0.51%"
"10/21/2021","4,218.63","4,276.94","4,282.46","4,214.82","","-1.61%"
"10/20/2021","4,287.52","4,284.91","4,290.99","4,258.14","","0.26%"
"10/19/2021","4,276.26","4,256.24","4,279.20","4,235.81","","0.66%"
"10/18/2021","4,248.33","4,254.91","4,257.83","4,225.42","","-0.32%"
"10/15/2021","4,261.82","4,278.51","4,282.15","4,247.79","","0.06%"
"10/14/2021","4,259.13","4,280.76","4,292.68","4,259.13","","0.36%"
"10/13/2021","4,243.92","4,260.44","4,260.44","4,189.91","","-0.47%"
"10/12/2021","4,263.80","4,259.03","4,275.60","4,250.03","","-0.38%"
"10/11/2021","4,279.87","4,259.38","4,284.53","4,247.20","","0.99%"
"10/08/2021","4,238.00","4,233.58","4,254.36","4,216.72","","0.24%"
"10/07/2021","4,228.02","4,222.78","4,239.14","4,179.39","","1.35%"
"10/06/2021","4,171.71","4,263.87","4,267.29","4,163.62","","-1.23%"
"10/05/2021","4,223.85","4,129.53","4,225.16","4,129.53","","2.70%"
"10/04/2021","4,112.72","4,106.89","4,131.39","4,100.85","","0.63%"
"10/01/2021","4,086.99","4,078.59","4,104.78","4,065.40","","-0.40%"
"09/30/2021","4,103.52","4,079.46","4,106.72","4,064.50","","1.11%"
"09/29/2021","4,058.37","4,045.16","4,076.61","4,038.06","","-0.17%"
"09/28/2021","4,065.46","4,109.66","4,112.31","4,050.95","","-0.39%"
"09/27/2021","4,081.22","4,069.55","4,083.61","4,061.71","","1.06%"
"09/24/2021","4,038.23","4,055.37","4,057.09","4,017.20","","-0.34%"
"09/23/2021","4,052.14","4,051.36","4,058.15","4,020.50","","0.52%"
"09/22/2021","4,030.98","4,001.79","4,032.38","3,999.82","","1.52%"
"09/21/2021","3,970.48","3,980.02","3,994.56","3,962.05","","0.02%"
"09/20/2021","3,969.61","3,988.45","3,991.39","3,955.19","","-1.62%"
"09/17/2021","4,035.17","4,043.51","4,054.38","4,013.62","","-0.25%"
"09/16/2021","4,045.10","4,069.19","4,073.72","4,028.08","","-0.50%"
"09/15/2021","4,065.53","4,059.08","4,081.98","4,049.69","","0.24%"
"09/14/2021","4,055.70","4,051.81","4,061.99","4,037.23","","0.36%"
"09/13/2021","4,041.16","4,012.97","4,041.83","4,001.63","","0.96%"
"09/10/2021","4,002.66","3,993.53","4,008.56","3,987.53","","0.23%"
"09/09/2021","3,993.56","4,007.82","4,009.66","3,982.60","","-0.59%"
"09/08/2021","4,017.37","4,015.35","4,030.72","3,984.64","","0.18%"
